Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;0;11;32.02;-68.54;76.4461379;0;0;0;11;32.02;68.54
2;1;;;0;10.57;31.75;-68.25;0.584722156;1;0.584722156;0.584722156;10.57;31.75;68.25
2;1;;;0;9.78;31.84;-68.21;0.796115569;2;0.796115569;1.380837726;9.78;31.84;68.21
2;1;;;0;7.36;32;-68.7;2.474287776;3;2.474287776;3.855125502;7.36;32;68.7
2;1;;;0;5.34;32.39;-71.09;3.153505985;4;3.153505985;7.008631487;5.34;32.39;71.09
2;1;;;0;1.79;32.83;-73.88;4.536540532;5;4.536540532;11.54517202;1.79;32.83;73.88
2;1;;;0;-0.62;33.83;-76.84;3.945845917;6;3.945845917;15.49101794;-0.62;33.83;76.84
2;1;;;0;-4.09;34.17;-80.55;5.09122775;7;5.09122775;20.58224569;-4.09;34.17;80.55
2;1;;;0;-6.8;35.26;-83.71;4.303231344;8;4.303231344;24.88547703;-6.8;35.26;83.71
2;1;g;0;0;-10.19;35.75;-86.5;4.417725659;9;4.417725659;29.30320269;-10.19;35.75;86.5
2;2;;;1;9.71;34.48;-73.01;24.07494548;0;0;0;9.71;34.48;73.01
2;2;;;1;9.43;34.81;-73.26;0.49979996;1;0.49979996;0.49979996;9.43;34.81;73.26
2;2;;;1;9.49;35.24;-74.02;0.875271386;2;0.875271386;1.375071346;9.49;35.24;74.02
2;2;;;1;10.64;35.98;-77.18;3.443210711;3;3.443210711;4.818282057;10.64;35.98;77.18
2;2;1;1;1;11.9;35.86;-81.56;4.559210458;4;4.559210458;9.377492515;11.9;35.86;81.56
2;3;;;1;14.6;35.7;-88.33;7.290301777;0;0;0;14.6;35.7;88.33
2;3;;;1;16.33;34.52;-93.97;6.016219743;1;6.016219743;6.016219743;16.33;34.52;93.97
2;3;;;1;19.02;34.76;-99.62;6.262283928;2;6.262283928;12.27850367;19.02;34.76;99.62
2;3;1;1;1;19.6;34.95;-106.86;7.265679597;3;7.265679597;19.54418327;19.6;34.95;106.86
2;4;;;2;8.46;33.82;-75.77;33.04488765;0;0;0;8.46;33.82;75.77
2;4;;;2;8.45;33.36;-75.57;0.50169712;1;0.50169712;0.50169712;8.45;33.36;75.57
2;4;;;2;8.28;33.23;-76.37;0.828130425;2;0.828130425;1.329827544;8.28;33.23;76.37
2;4;;;2;8.17;32.7;-78.44;2.139602767;3;2.139602767;3.469430311;8.17;32.7;78.44
2;4;;;2;8.46;32.43;-81.7;3.283991474;4;3.283991474;6.753421785;8.46;32.43;81.7
2;4;;;2;7.97;31.5;-86.26;4.679593999;5;4.679593999;11.43301578;7.97;31.5;86.26
2;4;;;2;6.91;32.26;-91.98;5.866821968;6;5.866821968;17.29983775;6.91;32.26;91.98
2;4;;;2;4.34;33.44;-100.21;8.702310038;7;8.702310038;26.00214779;4.34;33.44;100.21
2;4;;;2;-0.04;36.66;-106.1;8.015291635;8;8.015291635;34.01743943;-0.04;36.66;106.1
2;4;;;2;-3.81;38.51;-112.05;7.282712407;9;7.282712407;41.30015183;-3.81;38.51;112.05
2;4;2;2;2;-8.38;40.91;-117.6;7.579406309;10;7.579406309;48.87955814;-8.38;40.91;117.6
2;5;;;1;10.91;36.06;-72.98;48.85254343;0;0;0;10.91;36.06;72.98
2;5;;;1;11.25;36.62;-72.86;0.666033032;1;0.666033032;0.666033032;11.25;36.62;72.86
2;5;;;1;11.56;37.17;-73.01;0.648922183;2;0.648922183;1.314955216;11.56;37.17;73.01
2;5;;;1;12.42;38.29;-74.16;1.821126025;3;1.821126025;3.136081241;12.42;38.29;74.16
2;5;;;1;13.95;39.35;-78.14;4.393734175;4;4.393734175;7.529815416;13.95;39.35;78.14
2;5;;;1;16.05;40.46;-83.04;5.445374184;5;5.445374184;12.9751896;16.05;40.46;83.04
2;5;;;1;15.93;40.72;-90.59;7.555428512;6;7.555428512;20.53061811;15.93;40.72;90.59
2;5;;;1;16.67;41.24;-98.16;7.623837616;7;7.623837616;28.15445573;16.67;41.24;98.16
2;5;;;1;14.12;41.6;-106.64;8.862420663;8;8.862420663;37.01687639;14.12;41.6;106.64
2;5;;;1;10.57;42.93;-117.21;11.22926088;9;11.22926088;48.24613727;10.57;42.93;117.21
2;5;;;1;5.69;43.59;-124.16;8.517775531;10;8.517775531;56.76391281;5.69;43.59;124.16
2;5;;;1;1.59;46.07;-131.36;8.648722449;11;8.648722449;65.41263525;1.59;46.07;131.36
2;5;;;1;-4.88;47.63;-140.19;11.05727815;12;11.05727815;76.4699134;-4.88;47.63;140.19
2;5;;;1;-9.48;50.12;-146.66;8.319915865;13;8.319915865;84.78982927;-9.48;50.12;146.66
2;5;;;1;-14.13;51.01;-151.87;7.039794031;14;7.039794031;91.8296233;-14.13;51.01;151.87
2;5;;;1;-19.01;54.06;-157.12;7.789698325;15;7.789698325;99.61932162;-19.01;54.06;157.12
2;5;;;1;-22.44;55.17;-160.99;5.289035829;16;5.289035829;104.9083575;-22.44;55.17;160.99
2;5;;;1;-25.09;57.55;-165.49;5.739067869;17;5.739067869;110.6474253;-25.09;57.55;165.49
2;5;;;1;-30.17;59.24;-169.72;6.823151764;18;6.823151764;117.4705771;-30.17;59.24;169.72
2;5;;;1;-32.15;62.64;-173.26;5.292636394;19;5.292636394;122.7632135;-32.15;62.64;173.26
2;5;;;1;-35.68;64.15;-175.76;4.581593609;20;4.581593609;127.3448071;-35.68;64.15;175.76
2;5;;;1;-39.72;68.73;-177.2;6.274679275;21;6.274679275;133.6194864;-39.72;68.73;177.2
2;5;;;1;-44.09;71.12;-179.42;5.453200895;22;5.453200895;139.0726873;-44.09;71.12;179.42
2;5;1;1;1;-47.71;73.88;-180.28;4.632666619;23;4.632666619;143.7053539;-47.71;73.88;180.28
2;6;;;2;13.36;35.2;-73.14;129.2465354;0;0;0;13.36;35.2;73.14
2;6;;;2;13.55;35.03;-73.36;0.336749165;1;0.336749165;0.336749165;13.55;35.03;73.36
2;6;;;2;14.91;34.09;-74.64;2.090837153;2;2.090837153;2.427586318;14.91;34.09;74.64
2;6;2;2;2;15.49;31.86;-79.78;5.632841201;3;5.632841201;8.060427519;15.49;31.86;79.78
2;7;;;2;25.44;33.48;-70.16;13.93453623;0;0;0;25.44;33.48;70.16
2;7;;;2;25.13;33.79;-70.26;0.449666543;1;0.449666543;0.449666543;25.13;33.79;70.26
2;7;;;2;24.98;34.13;-70.44;0.412916456;2;0.412916456;0.862583;24.98;34.13;70.44
2;7;;;2;23.8;35.06;-71.52;1.850324296;3;1.850324296;2.712907295;23.8;35.06;71.52
2;7;;;2;22.74;36.2;-74.63;3.477829783;4;3.477829783;6.190737079;22.74;36.2;74.63
2;7;;;2;19.78;38.05;-80.57;6.889680689;5;6.889680689;13.08041777;19.78;38.05;80.57
2;7;;;2;19.62;40.76;-88.03;7.938595594;6;7.938595594;21.01901336;19.62;40.76;88.03
2;7;2;2;2;18.67;43.24;-94.7;7.1792618;7;7.1792618;28.19827516;18.67;43.24;94.7
2;8;;;2;28.37;31.29;-68.47;30.4122574;0;0;0;28.37;31.29;68.47
2;8;;;2;28.63;30.9;-68.68;0.513614642;1;0.513614642;0.513614642;28.63;30.9;68.68
2;8;;;2;28.86;30.44;-69.04;0.627773845;2;0.627773845;1.141388486;28.86;30.44;69.04
2;8;;;2;28.26;29.97;-71.54;2.613599051;3;2.613599051;3.754987537;28.26;29.97;71.54
2;8;;;2;27.76;29.77;-75.52;4.016266923;4;4.016266923;7.771254461;27.76;29.77;75.52
2;8;;;2;25.88;30.04;-80.69;5.507830789;5;5.507830789;13.27908525;25.88;30.04;80.69
2;8;;;2;23.43;30.51;-88.76;8.446792291;6;8.446792291;21.72587754;23.43;30.51;88.76
2;8;;;2;16.59;31.85;-97.75;11.37546922;7;11.37546922;33.10134676;16.59;31.85;97.75
2;8;;;2;11.36;33.14;-104.92;8.96804884;8;8.96804884;42.0693956;11.36;33.14;104.92
2;8;;;2;1.09;37.1;-109.19;11.80624411;9;11.80624411;53.87563971;1.09;37.1;109.19
2;8;;;2;-12.82;39.99;-114.12;15.03812156;10;15.03812156;68.91376127;-12.82;39.99;114.12
2;8;;;2;-22.51;44.34;-116.65;10.91876825;11;10.91876825;79.83252952;-22.51;44.34;116.65
2;8;;;2;-31.28;45.47;-122.21;10.4452573;12;10.4452573;90.27778681;-31.28;45.47;122.21
2;8;;;2;-42.44;49.49;-127.88;13.14742941;13;13.14742941;103.4252162;-42.44;49.49;127.88
2;8;;;2;-49.1;50.88;-133.53;8.843653091;14;8.843653091;112.2688693;-49.1;50.88;133.53
2;8;;;2;-57.22;54.87;-137.28;9.793722479;15;9.793722479;122.0625918;-57.22;54.87;137.28
2;8;;;2;-67.18;54.58;-140.98;10.62900278;16;10.62900278;132.6915946;-67.18;54.58;140.98
2;8;;;2;-73.39;56.04;-143.99;7.053779129;17;7.053779129;139.7453737;-73.39;56.04;143.99
2;8;;;2;-78.25;54.75;-146.47;5.606612168;18;5.606612168;145.3519859;-78.25;54.75;146.47
2;8;;;2;-84.96;54.38;-150.35;7.759858246;19;7.759858246;153.1118441;-84.96;54.38;150.35
2;8;2;2;2;-89.38;53.67;-155.02;6.469111222;20;6.469111222;159.5809553;-89.38;53.67;155.02
2;9;;;0;29.43;32.47;-62.46;152.0940817;0;0;0;29.43;32.47;62.46
2;9;;;0;29.75;32.39;-62.27;0.380657326;1;0.380657326;0.380657326;29.75;32.39;62.27
2;9;;;0;30.12;32.49;-62.26;0.38340579;2;0.38340579;0.764063116;30.12;32.49;62.26
2;9;;;0;32.55;33.46;-63.24;2.793957766;3;2.793957766;3.558020883;32.55;33.46;63.24
2;9;;;0;38.1;35.36;-66.22;6.579734037;4;6.579734037;10.13775492;38.1;35.36;66.22
2;9;;;0;43.67;38.16;-72.37;8.757134234;5;8.757134234;18.89488915;43.67;38.16;72.37
2;9;;;0;50.2;40.23;-81.04;11.04964705;6;11.04964705;29.94453621;50.2;40.23;81.04
2;9;;;0;55.22;43.26;-89.43;10.23588785;7;10.23588785;40.18042405;55.22;43.26;89.43
2;9;;;0;62.12;46.2;-98.58;11.83114956;8;11.83114956;52.01157362;62.12;46.2;98.58
2;9;;;0;66;50.42;-110.26;13.01096461;9;13.01096461;65.02253822;66;50.42;110.26
2;9;;;0;70.78;52.22;-120.66;11.58656118;10;11.58656118;76.60909941;70.78;52.22;120.66
2;9;;;0;72.5;56.7;-128.35;9.064485645;11;9.064485645;85.67358505;72.5;56.7;128.35
2;9;;;0;75.91;58.45;-137.92;10.30900092;12;10.30900092;95.98258597;75.91;58.45;137.92
2;9;;;0;76.04;61.19;-144.06;6.724886616;13;6.724886616;102.7074726;76.04;61.19;144.06
2;9;;;0;77.75;63.36;-148.74;5.434648103;14;5.434648103;108.1421207;77.75;63.36;148.74
2;9;;;0;77.13;65.55;-154.49;6.184092496;15;6.184092496;114.3262132;77.13;65.55;154.49
2;9;;;0;77.75;67.48;-159.03;4.972011665;16;4.972011665;119.2982249;77.75;67.48;159.03
2;9;;;0;76.26;69.13;-163.05;4.59380017;17;4.59380017;123.892025;76.26;69.13;163.05
2;9;;;0;77;70.55;-167.33;4.569726469;18;4.569726469;128.4617515;77;70.55;167.33
2;9;;;0;76.42;72.73;-171.59;4.82041492;19;4.82041492;133.2821664;76.42;72.73;171.59
2;9;;;0;77.54;73.47;-176.24;4.839886362;20;4.839886362;138.1220528;77.54;73.47;176.24
2;9;;;0;78.47;76.2;-181.48;5.981254049;21;5.981254049;144.1033068;78.47;76.2;181.48
2;9;;;0;79.4;78.65;-185.62;4.899693868;22;4.899693868;149.0030007;79.4;78.65;185.62
2;9;G;0;0;79.47;82.71;-188.53;4.995658115;23;4.995658115;153.9986588;79.47;82.71;188.53
2;10;;;0;54.32;32.24;-70.05;131.2145335;0;0;0;54.32;32.24;70.05
2;10;;;0;54.21;31.88;-70.45;0.549272246;1;0.549272246;0.549272246;54.21;31.88;70.45
2;10;;;0;55.36;30.52;-74.09;4.052369677;2;4.052369677;4.601641923;55.36;30.52;74.09
2;10;;;0;56.17;29.69;-78.93;4.977007133;3;4.977007133;9.578649056;56.17;29.69;78.93
2;10;G;0;0;56.58;28.54;-84.77;5.966255107;4;5.966255107;15.54490416;56.58;28.54;84.77
